region,polling_unit_id,date,registered_voters,accredited_voters,votes_cast,invalid_votes,voting_start_time,voting_end_time,device_status,network_status,incidents_reported,expected_staff,staff_present,result_uploaded,upload_delay_minutes
Abuja,PU_0015,2026-03-28,1655,1550,1339,1,2026-06-21 09:50:00,2026-06-21 15:11:00,Working,Good,1,8,8,1,171.0
Rivers,PU_0016,2026-03-28,1087,664,606,15,2026-06-21 08:36:00,2026-06-21 16:20:00,Working,Poor,0,8,8,1,140.0
Kaduna,PU_0017,2026-03-28,1261,1163,1070,39,2026-06-21 09:55:00,2026-06-21 15:38:00,Working,Good,0,8,7,1,41.0
Lagos,PU_0018,2026-03-28,846,649,618,24,2026-06-21 08:18:00,2026-06-21 15:12:00,Working,Good,2,6,5,1,159.0
Rivers,PU_0019,2026-03-28,1454,979,923,19,2026-06-21 09:16:00,2026-06-21 15:49:00,Working,Good,0,8,8,1,99.0
Abuja,PU_0020,2026-03-28,1234,1027,895,26,2026-06-21 08:19:00,2026-06-21 16:01:00,Working,Good,1,7,6,1,155.0
Kaduna,PU_0021,2026-03-28,1776,1386,1227,45,2026-06-21 09:20:00,2026-06-21 15:26:00,Faulty,Poor,0,5,5,0,
Rivers,PU_0022,2026-03-28,909,617,580,14,2026-06-21 08:26:00,2026-06-21 16:26:00,Working,Poor,0,6,4,1,61.0
Lagos,PU_0023,2026-03-28,1042,853,745,39,2026-06-21 09:54:00,2026-06-21 15:26:00,Working,Good,2,5,4,1,39.0
Lagos,PU_0024,2026-03-28,854,653,623,9,2026-06-21 08:03:00,2026-06-21 15:08:00,Faulty,Good,2,5,5,1,57.0
Kano,PU_0025,2026-03-28,1212,1019,953,37,2026-06-21 08:30:00,2026-06-21 16:02:00,Working,Good,0,6,5,1,150.0
Kano,PU_0026,2026-03-28,1891,1590,1462,26,2026-06-21 08:59:00,2026-06-21 16:07:00,Working,Good,2,8,8,0,
Abuja,PU_0027,2026-03-28,1083,829,774,16,2026-06-21 09:29:00,2026-06-21 15:07:00,Working,Good,0,9,7,1,32.0
Rivers,PU_0028,2026-03-28,1010,744,642,21,2026-06-21 08:36:00,2026-06-21 16:41:00,Working,Good,1,5,4,1,75.0
Rivers,PU_0029,2026-03-28,1032,642,591,38,2026-06-21 09:04:00,2026-06-21 16:22:00,Working,Poor,1,8,8,1,166.0
Kano,PU_0030,2026-03-28,1027,793,720,13,2026-06-21 08:11:00,2026-06-21 16:58:00,Working,Offline,1,8,8,1,88.0
Rivers,PU_0031,2026-03-28,1446,990,907,48,2026-06-21 08:41:00,2026-06-21 15:43:00,Working,Good,1,9,7,1,179.0
Rivers,PU_0032,2026-03-28,1925,1190,1063,42,2026-06-21 09:48:00,2026-06-21 15:21:00,Working,Good,1,8,7,0,
Lagos,PU_0033,2026-03-28,1698,1215,1106,27,2026-06-21 09:54:00,2026-06-21 16:48:00,Working,Good,4,6,4,1,101.0
Kano,PU_0034,2026-03-28,1323,834,804,7,2026-06-21 09:19:00,2026-06-21 16:22:00,Working,Good,0,5,4,0,
Kaduna,PU_0035,2026-03-28,577,463,414,7,2026-06-21 09:37:00,2026-06-21 15:01:00,Working,Good,2,7,6,1,177.0
Kano,PU_0036,2026-03-28,939,728,623,28,2026-06-21 09:27:00,2026-06-21 16:09:00,Working,Good,0,6,5,0,
Kaduna,PU_0037,2026-03-28,1048,919,811,40,2026-06-21 08:40:00,2026-06-21 16:12:00,Working,Poor,0,7,5,1,127.0
Lagos,PU_0038,2026-03-28,1755,1217,1106,0,2026-06-21 08:23:00,2026-06-21 15:43:00,Faulty,Poor,1,8,8,1,60.0
Abuja,PU_0039,2026-03-28,899,656,603,44,2026-06-21 08:36:00,2026-06-21 15:14:00,Working,Good,2,9,8,1,138.0
Rivers,PU_0040,2026-03-28,1736,1460,1322,8,2026-06-21 08:42:00,2026-06-21 15:36:00,Working,Good,2,8,7,0,
Lagos,PU_0041,2026-03-28,1716,1625,1555,7,2026-06-21 09:07:00,2026-06-21 15:37:00,Faulty,Good,1,6,6,0,
Rivers,PU_0042,2026-03-28,1200,1099,1064,3,2026-06-21 09:54:00,2026-06-21 16:53:00,Working,Poor,3,8,7,0,
Abuja,PU_0043,2026-03-28,1790,1400,1278,20,2026-06-21 08:07:00,2026-06-21 15:41:00,Working,Poor,0,7,7,1,175.0
Abuja,PU_0044,2026-03-28,625,523,449,4,2026-06-21 09:19:00,2026-06-21 15:20:00,Faulty,Poor,0,5,5,1,98.0
Lagos,PU_0045,2026-03-28,1333,1047,947,40,2026-06-21 09:52:00,2026-06-21 15:19:00,Working,Good,0,5,5,1,3.0
Abuja,PU_0046,2026-03-28,1905,1432,1250,48,2026-06-21 09:46:00,2026-06-21 16:14:00,Working,Good,2,5,3,0,
Kaduna,PU_0047,2026-03-28,1043,845,749,40,2026-06-21 08:08:00,2026-06-21 16:44:00,Working,Good,1,6,6,1,67.0
Abuja,PU_0048,2026-03-28,1001,736,705,40,2026-06-21 09:44:00,2026-06-21 16:39:00,Working,Good,2,9,9,0,
Rivers,PU_0049,2026-03-28,1926,1344,1235,37,2026-06-21 09:27:00,2026-06-21 16:11:00,Working,Poor,0,6,6,1,93.0
Rivers,PU_0050,2026-03-28,1323,1120,1072,22,2026-06-21 08:38:00,2026-06-21 15:42:00,Faulty,Good,1,8,7,1,16.0
Rivers,PU_0051,2026-03-28,1784,1614,1578,22,2026-06-21 08:00:00,2026-06-21 15:55:00,Working,Good,1,8,6,1,174.0
Rivers,PU_0052,2026-03-28,886,620,570,1,2026-06-21 08:02:00,2026-06-21 16:32:00,Working,Good,0,8,6,1,88.0
Kaduna,PU_0053,2026-03-28,911,771,746,2,2026-06-21 08:08:00,2026-06-21 16:31:00,Working,Good,2,8,8,1,37.0
Kano,PU_0054,2026-03-28,1869,1405,1319,10,2026-06-21 08:47:00,2026-06-21 16:12:00,Faulty,Good,1,5,4,1,166.0
Lagos,PU_0055,2026-03-28,1617,1141,984,27,2026-06-21 09:49:00,2026-06-21 15:33:00,Working,Offline,2,6,5,0,
Rivers,PU_0056,2026-03-28,827,675,610,2,2026-06-21 08:52:00,2026-06-21 15:08:00,Faulty,Good,1,8,6,0,
Abuja,PU_0057,2026-03-28,599,556,520,8,2026-06-21 08:46:00,2026-06-21 15:27:00,Working,Good,0,8,8,0,
Rivers,PU_0058,2026-03-28,960,694,653,31,2026-06-21 09:39:00,2026-06-21 15:37:00,Working,Good,1,7,5,0,
Abuja,PU_0059,2026-03-28,1838,1591,1530,44,2026-06-21 08:46:00,2026-06-21 16:42:00,Faulty,Good,0,7,5,0,
Abuja,PU_0060,2026-03-28,524,372,347,45,2026-06-21 09:02:00,2026-06-21 15:03:00,Working,Good,2,6,4,1,4.0
Rivers,PU_0061,2026-03-28,993,875,753,9,2026-06-21 08:10:00,2026-06-21 16:22:00,Working,Good,2,9,7,1,126.0
Kaduna,PU_0062,2026-03-28,852,737,640,48,2026-06-21 08:48:00,2026-06-21 16:41:00,Working,Good,3,5,3,1,92.0
Abuja,PU_0063,2026-03-28,1368,1187,1059,11,2026-06-21 08:40:00,2026-06-21 16:36:00,Faulty,Good,1,8,7,1,116.0
Abuja,PU_0064,2026-03-28,1640,1556,1382,43,2026-06-21 08:54:00,2026-06-21 15:55:00,Working,Good,1,9,7,1,64.0
Rivers,PU_0065,2026-03-28,698,453,398,19,2026-06-21 09:48:00,2026-06-21 15:43:00,Working,Good,0,9,7,1,92.0
Abuja,PU_0066,2026-03-28,1802,1326,1233,40,2026-06-21 08:02:00,2026-06-21 16:28:00,Working,Poor,1,7,6,1,154.0
Abuja,PU_0067,2026-03-28,1346,1104,1000,11,2026-06-21 09:37:00,2026-06-21 16:31:00,Working,Good,1,5,4,1,57.0
Rivers,PU_0068,2026-03-28,1602,1292,1213,8,2026-06-21 09:38:00,2026-06-21 15:50:00,Working,Poor,0,9,8,0,
Rivers,PU_0069,2026-03-28,1947,1700,1530,24,2026-06-21 09:19:00,2026-06-21 16:21:00,Working,Good,1,5,5,0,
Lagos,PU_0070,2026-03-28,1877,1157,1024,10,2026-06-21 08:13:00,2026-06-21 16:07:00,Working,Good,0,5,4,1,51.0
Kaduna,PU_0071,2026-03-28,1025,867,798,8,2026-06-21 09:39:00,2026-06-21 15:54:00,Working,Offline,1,8,6,0,
Kaduna,PU_0072,2026-03-28,1040,892,769,44,2026-06-21 09:06:00,2026-06-21 15:50:00,Working,Poor,0,7,6,1,84.0
Abuja,PU_0073,2026-03-28,976,606,592,44,2026-06-21 09:51:00,2026-06-21 16:39:00,Working,Good,0,8,8,1,22.0
Kaduna,PU_0074,2026-03-28,509,401,375,12,2026-06-21 09:53:00,2026-06-21 16:11:00,Working,Good,2,9,7,1,130.0
Abuja,PU_0075,2026-03-28,1783,1222,1058,12,2026-06-21 08:05:00,2026-06-21 16:17:00,Working,Poor,0,9,7,1,6.0
Lagos,PU_0076,2026-03-28,1023,900,837,6,2026-06-21 08:15:00,2026-06-21 16:04:00,Working,Good,2,8,6,1,27.0
Rivers,PU_0077,2026-03-28,1309,808,694,11,2026-06-21 08:51:00,2026-06-21 16:05:00,Working,Good,1,6,6,1,65.0
Rivers,PU_0078,2026-03-28,1271,827,757,40,2026-06-21 09:43:00,2026-06-21 15:09:00,Working,Poor,1,8,7,0,
Rivers,PU_0079,2026-03-28,1359,865,767,22,2026-06-21 08:31:00,2026-06-21 15:12:00,Working,Good,0,5,3,1,18.0
Kaduna,PU_0080,2026-03-28,1529,952,895,26,2026-06-21 08:33:00,2026-06-21 16:56:00,Working,Good,2,9,9,1,45.0
Lagos,PU_0081,2026-03-28,1558,1262,1152,27,2026-06-21 09:35:00,2026-06-21 16:10:00,Working,Poor,0,9,8,0,
Kaduna,PU_0082,2026-03-28,674,609,579,30,2026-06-21 09:36:00,2026-06-21 16:42:00,Working,Good,0,8,8,1,141.0
Kaduna,PU_0083,2026-03-28,941,732,644,33,2026-06-21 09:16:00,2026-06-21 16:24:00,Faulty,Poor,0,6,4,1,8.0
Lagos,PU_0084,2026-03-28,1670,1125,1052,11,2026-06-21 09:31:00,2026-06-21 16:36:00,Working,Good,1,8,8,0,
Lagos,PU_0085,2026-03-28,1716,1236,1161,3,2026-06-21 08:17:00,2026-06-21 15:14:00,Working,Good,0,9,8,1,48.0
Lagos,PU_0086,2026-03-28,1536,1115,1016,19,2026-06-21 08:52:00,2026-06-21 15:48:00,Working,Good,1,7,5,1,123.0
Lagos,PU_0087,2026-03-28,745,564,542,35,2026-06-21 08:36:00,2026-06-21 16:25:00,Working,Poor,1,8,8,1,146.0
Rivers,PU_0088,2026-03-28,1174,877,762,2,2026-06-21 09:27:00,2026-06-21 15:55:00,Working,Good,0,6,6,1,89.0
Kano,PU_0089,2026-03-28,613,511,484,28,2026-06-21 08:00:00,2026-06-21 15:55:00,Working,Good,1,5,4,0,
Kano,PU_0090,2026-03-28,1511,1086,941,48,2026-06-21 09:51:00,2026-06-21 16:52:00,Working,Good,1,5,3,1,106.0
Lagos,PU_0091,2026-03-28,1293,1075,935,5,2026-06-21 08:28:00,2026-06-21 16:56:00,Working,Good,1,9,7,1,76.0
Kano,PU_0092,2026-03-28,732,579,507,4,2026-06-21 09:30:00,2026-06-21 16:31:00,Faulty,Good,2,9,7,1,134.0
Kano,PU_0093,2026-03-28,1479,912,853,42,2026-06-21 08:13:00,2026-06-21 16:23:00,Working,Good,1,9,8,1,56.0
Lagos,PU_0094,2026-03-28,1845,1700,1586,34,2026-06-21 08:23:00,2026-06-21 16:37:00,Working,Good,1,5,4,1,1.0
Kano,PU_0095,2026-03-28,625,413,374,11,2026-06-21 09:18:00,2026-06-21 16:12:00,Faulty,Poor,1,5,3,1,16.0
Kaduna,PU_0096,2026-03-28,1836,1391,1239,37,2026-06-21 09:13:00,2026-06-21 16:28:00,Working,Poor,1,7,5,1,53.0
Abuja,PU_0097,2026-03-28,1010,940,873,46,2026-06-21 08:23:00,2026-06-21 15:43:00,Working,Good,0,6,6,1,115.0
Abuja,PU_0098,2026-03-28,780,535,464,19,2026-06-21 08:15:00,2026-06-21 15:18:00,Working,Good,1,7,7,1,68.0
Lagos,PU_0099,2026-03-28,1297,788,734,24,2026-06-21 09:34:00,2026-06-21 15:44:00,Working,Good,0,7,6,1,129.0
Rivers,PU_0100,2026-03-28,1477,1139,969,31,2026-06-21 08:28:00,2026-06-21 16:54:00,Working,Good,2,6,4,1,159.0
Lagos,PU_0101,2026-03-28,1402,951,826,2,2026-06-21 08:08:00,2026-06-21 16:13:00,Working,Offline,1,6,5,1,33.0
Rivers,PU_0102,2026-03-28,1806,1451,1366,45,2026-06-21 08:35:00,2026-06-21 15:06:00,Working,Good,0,7,6,1,32.0
Abuja,PU_0103,2026-03-28,1150,1018,980,0,2026-06-21 09:14:00,2026-06-21 16:15:00,Working,Good,0,7,5,1,146.0
Lagos,PU_0104,2026-03-28,891,694,596,0,2026-06-21 08:18:00,2026-06-21 15:59:00,Working,Good,2,6,6,0,
Kaduna,PU_0105,2026-03-28,881,727,678,1,2026-06-21 08:15:00,2026-06-21 15:41:00,Faulty,Good,3,9,9,1,68.0
Kano,PU_0106,2026-03-28,715,595,510,12,2026-06-21 08:08:00,2026-06-21 15:33:00,Faulty,Good,1,8,8,1,117.0
Rivers,PU_0107,2026-03-28,1041,923,890,17,2026-06-21 08:43:00,2026-06-21 16:04:00,Working,Good,3,7,5,1,98.0
Kano,PU_0108,2026-03-28,1105,929,836,41,2026-06-21 08:52:00,2026-06-21 15:46:00,Working,Offline,0,8,7,1,69.0
Kano,PU_0109,2026-03-28,615,579,547,41,2026-06-21 09:30:00,2026-06-21 15:02:00,Working,Poor,1,8,8,1,158.0
Lagos,PU_0110,2026-03-28,1008,765,667,44,2026-06-21 09:37:00,2026-06-21 16:57:00,Working,Good,0,6,5,1,14.0
Kano,PU_0111,2026-03-28,770,475,456,20,2026-06-21 09:14:00,2026-06-21 15:33:00,Faulty,Good,2,5,3,1,45.0
Kaduna,PU_0112,2026-03-28,1963,1448,1311,1,2026-06-21 09:22:00,2026-06-21 15:45:00,Working,Poor,0,7,7,1,109.0
Kano,PU_0113,2026-03-28,1814,1621,1421,23,2026-06-21 09:11:00,2026-06-21 16:36:00,Working,Good,1,7,7,1,70.0
Lagos,PU_0114,2026-03-28,1562,1009,932,5,2026-06-21 08:42:00,2026-06-21 16:37:00,Working,Good,2,7,7,1,43.0
Kaduna,PU_0115,2026-03-28,1547,1326,1176,2,2026-06-21 09:51:00,2026-06-21 16:17:00,Working,Good,1,8,7,1,62.0
Abuja,PU_0116,2026-03-28,1275,1004,890,49,2026-06-21 09:58:00,2026-06-21 15:18:00,Working,Good,0,5,4,1,127.0
Kano,PU_0117,2026-03-28,1566,1433,1239,13,2026-06-21 09:23:00,2026-06-21 15:56:00,Working,Good,2,5,3,1,111.0
Lagos,PU_0118,2026-03-28,1693,1449,1271,30,2026-06-21 08:40:00,2026-06-21 16:39:00,Working,Good,0,5,4,0,
Abuja,PU_0119,2026-03-28,839,697,664,29,2026-06-21 08:10:00,2026-06-21 15:10:00,Working,Good,0,9,8,1,161.0
Abuja,PU_0120,2026-03-28,668,608,558,8,2026-06-21 08:12:00,2026-06-21 15:26:00,Working,Poor,0,9,8,1,74.0
Rivers,PU_0121,2026-03-28,1995,1831,1640,0,2026-06-21 09:20:00,2026-06-21 16:08:00,Working,Offline,0,9,7,0,
Kaduna,PU_0122,2026-03-28,1161,853,828,37,2026-06-21 08:42:00,2026-06-21 15:40:00,Working,Good,0,5,3,1,85.0
Kano,PU_0123,2026-03-28,642,593,565,46,2026-06-21 08:42:00,2026-06-21 15:55:00,Working,Good,0,5,3,1,119.0
Lagos,PU_0124,2026-03-28,1624,1005,894,28,2026-06-21 09:26:00,2026-06-21 16:45:00,Working,Good,0,5,4,1,85.0
Rivers,PU_0125,2026-03-28,1074,931,804,24,2026-06-21 08:53:00,2026-06-21 15:14:00,Working,Good,0,9,7,1,130.0
Kaduna,PU_0126,2026-03-28,974,699,610,38,2026-06-21 08:49:00,2026-06-21 15:08:00,Faulty,Poor,2,6,5,1,127.0
Rivers,PU_0127,2026-03-28,810,624,585,19,2026-06-21 08:11:00,2026-06-21 15:05:00,Working,Good,1,8,7,1,127.0
Kaduna,PU_0128,2026-03-28,1583,1412,1303,11,2026-06-21 09:12:00,2026-06-21 16:22:00,Working,Good,1,5,4,0,
Kaduna,PU_0129,2026-03-28,1552,1277,1248,33,2026-06-21 09:30:00,2026-06-21 16:34:00,Working,Good,1,9,8,1,3.0
Kano,PU_0130,2026-03-28,1030,782,666,21,2026-06-21 09:28:00,2026-06-21 16:37:00,Working,Good,1,7,6,1,75.0
Kaduna,PU_0131,2026-03-28,1490,979,943,43,2026-06-21 09:26:00,2026-06-21 16:41:00,Working,Good,1,5,3,1,25.0
Rivers,PU_0132,2026-03-28,572,531,452,13,2026-06-21 08:54:00,2026-06-21 15:27:00,Working,Good,1,5,5,1,108.0
Kaduna,PU_0133,2026-03-28,1917,1373,1242,27,2026-06-21 09:55:00,2026-06-21 15:34:00,Working,Good,1,5,3,1,48.0
Kano,PU_0134,2026-03-28,1368,869,842,6,2026-06-21 08:38:00,2026-06-21 15:51:00,Working,Good,0,8,8,0,
Kano,PU_0135,2026-03-28,893,712,666,5,2026-06-21 08:08:00,2026-06-21 16:02:00,Working,Poor,0,8,6,1,4.0
Rivers,PU_0136,2026-03-28,980,727,673,35,2026-06-21 09:45:00,2026-06-21 15:07:00,Faulty,Good,0,7,6,1,98.0
Abuja,PU_0137,2026-03-28,972,784,698,31,2026-06-21 09:28:00,2026-06-21 15:28:00,Faulty,Good,0,6,5,0,
Abuja,PU_0138,2026-03-28,812,553,539,44,2026-06-21 09:28:00,2026-06-21 15:00:00,Faulty,Good,1,9,8,1,152.0
Kaduna,PU_0139,2026-03-28,1961,1436,1252,25,2026-06-21 08:09:00,2026-06-21 15:41:00,Working,Good,0,6,5,0,
Lagos,PU_0140,2026-03-28,1451,1364,1207,5,2026-06-21 08:14:00,2026-06-21 15:18:00,Working,Good,1,9,7,1,108.0
Kaduna,PU_0141,2026-03-28,823,763,693,33,2026-06-21 08:36:00,2026-06-21 15:04:00,Faulty,Good,2,5,4,1,9.0
Rivers,PU_0142,2026-03-28,1512,1364,1181,42,2026-06-21 09:47:00,2026-06-21 15:58:00,Faulty,Good,2,7,6,1,1.0
Rivers,PU_0143,2026-03-28,1464,1277,1155,47,2026-06-21 08:50:00,2026-06-21 15:56:00,Working,Good,3,6,6,1,129.0
Rivers,PU_0144,2026-03-28,586,383,327,49,2026-06-21 08:02:00,2026-06-21 15:38:00,Working,Poor,2,7,6,1,164.0
Rivers,PU_0145,2026-03-28,858,655,635,28,2026-06-21 08:23:00,2026-06-21 15:02:00,Working,Good,0,7,7,1,78.0
Rivers,PU_0146,2026-03-28,1194,1020,909,5,2026-06-21 09:27:00,2026-06-21 16:11:00,Working,Good,1,8,8,1,26.0
Kano,PU_0147,2026-03-28,696,481,448,0,2026-06-21 08:08:00,2026-06-21 15:40:00,Working,Offline,2,6,6,1,128.0
Abuja,PU_0148,2026-03-28,1255,767,738,7,2026-06-21 09:53:00,2026-06-21 16:21:00,Working,Poor,0,8,8,1,97.0
Rivers,PU_0149,2026-03-28,1476,1101,1052,7,2026-06-21 08:32:00,2026-06-21 16:10:00,Working,Offline,0,7,5,0,
Lagos,PU_0150,2026-03-28,1908,1428,1375,25,2026-06-21 08:13:00,2026-06-21 16:24:00,Working,Good,2,8,7,1,42.0
Lagos,PU_0151,2026-03-28,1641,1021,963,21,2026-06-21 08:02:00,2026-06-21 15:37:00,Working,Good,2,6,5,1,167.0
Lagos,PU_0152,2026-03-28,997,710,621,44,2026-06-21 08:55:00,2026-06-21 16:40:00,Faulty,Good,3,5,3,1,148.0
Lagos,PU_0153,2026-03-28,1407,1295,1162,15,2026-06-21 09:09:00,2026-06-21 15:25:00,Working,Good,0,6,6,1,19.0
Kano,PU_0154,2026-03-28,1430,983,900,9,2026-06-21 09:19:00,2026-06-21 15:33:00,Working,Poor,1,9,8,1,167.0
Lagos,PU_0155,2026-03-28,961,768,686,16,2026-06-21 08:34:00,2026-06-21 16:26:00,Working,Good,3,9,7,1,143.0
Rivers,PU_0156,2026-03-28,1469,1132,1102,44,2026-06-21 08:16:00,2026-06-21 15:20:00,Working,Poor,2,6,4,1,66.0
Kaduna,PU_0157,2026-03-28,1770,1596,1524,7,2026-06-21 09:08:00,2026-06-21 15:32:00,Working,Good,1,6,4,0,
Lagos,PU_0158,2026-03-28,733,607,578,49,2026-06-21 09:01:00,2026-06-21 15:19:00,Working,Good,2,9,9,1,87.0
Kano,PU_0159,2026-03-28,916,600,538,19,2026-06-21 09:25:00,2026-06-21 15:21:00,Working,Poor,0,5,3,1,168.0
Kano,PU_0160,2026-03-28,1990,1293,1225,48,2026-06-21 08:15:00,2026-06-21 16:27:00,Working,Good,1,8,7,1,40.0
Lagos,PU_0161,2026-03-28,1888,1501,1395,0,2026-06-21 09:58:00,2026-06-21 16:40:00,Working,Good,2,7,5,1,0.0
Kaduna,PU_0162,2026-03-28,652,401,360,43,2026-06-21 08:12:00,2026-06-21 15:02:00,Working,Good,0,5,4,0,
Lagos,PU_0163,2026-03-28,771,568,505,30,2026-06-21 09:46:00,2026-06-21 16:05:00,Working,Good,1,8,7,1,123.0
Kano,PU_0164,2026-03-28,891,659,627,21,2026-06-21 08:11:00,2026-06-21 15:58:00,Working,Good,1,7,6,1,154.0
Abuja,PU_0165,2026-03-28,1046,699,648,42,2026-06-21 09:13:00,2026-06-21 15:29:00,Working,Good,3,8,6,0,
Rivers,PU_0166,2026-03-28,1224,863,737,24,2026-06-21 08:09:00,2026-06-21 16:37:00,Faulty,Offline,2,5,5,1,122.0
Kano,PU_0167,2026-03-28,1953,1397,1191,11,2026-06-21 08:51:00,2026-06-21 15:50:00,Working,Good,0,7,6,1,70.0
Lagos,PU_0168,2026-03-28,688,415,398,28,2026-06-21 09:51:00,2026-06-21 15:02:00,Faulty,Good,0,5,5,1,97.0
Rivers,PU_0169,2026-03-28,1311,1156,996,1,2026-06-21 09:17:00,2026-06-21 16:06:00,Working,Poor,1,9,9,0,
Lagos,PU_0170,2026-03-28,1775,1659,1522,13,2026-06-21 09:36:00,2026-06-21 15:18:00,Working,Good,2,9,9,1,115.0
Lagos,PU_0171,2026-03-28,894,626,581,49,2026-06-21 08:38:00,2026-06-21 15:12:00,Faulty,Good,0,6,5,1,87.0
Abuja,PU_0172,2026-03-28,1161,742,719,23,2026-06-21 09:44:00,2026-06-21 16:11:00,Working,Good,1,7,7,1,14.0
Rivers,PU_0173,2026-03-28,1352,1262,1157,24,2026-06-21 09:48:00,2026-06-21 15:24:00,Working,Good,0,6,4,1,146.0
Rivers,PU_0174,2026-03-28,1742,1496,1309,46,2026-06-21 08:40:00,2026-06-21 15:21:00,Working,Poor,2,6,6,1,125.0
Abuja,PU_0175,2026-03-28,1093,996,880,23,2026-06-21 08:27:00,2026-06-21 16:23:00,Working,Good,0,9,8,1,46.0
Kano,PU_0176,2026-03-28,689,500,428,11,2026-06-21 09:25:00,2026-06-21 15:26:00,Working,Good,1,5,3,1,163.0
Lagos,PU_0177,2026-03-28,733,563,494,2,2026-06-21 09:21:00,2026-06-21 16:06:00,Faulty,Poor,1,9,8,1,16.0
Kaduna,PU_0178,2026-03-28,731,676,646,14,2026-06-21 09:18:00,2026-06-21 15:48:00,Faulty,Offline,0,9,8,1,74.0
Lagos,PU_0179,2026-03-28,857,652,618,44,2026-06-21 08:16:00,2026-06-21 16:22:00,Working,Good,1,6,5,0,
Lagos,PU_0180,2026-03-28,977,816,702,9,2026-06-21 08:01:00,2026-06-21 16:56:00,Working,Good,1,8,8,1,99.0
Kano,PU_0181,2026-03-28,1952,1652,1507,9,2026-06-21 09:12:00,2026-06-21 15:12:00,Working,Good,1,9,9,0,
Lagos,PU_0182,2026-03-28,736,657,584,39,2026-06-21 09:16:00,2026-06-21 15:42:00,Working,Good,0,6,6,1,139.0
Abuja,PU_0183,2026-03-28,1556,1464,1368,41,2026-06-21 09:24:00,2026-06-21 16:04:00,Working,Good,2,8,8,1,91.0
Abuja,PU_0184,2026-03-28,712,510,497,26,2026-06-21 09:17:00,2026-06-21 16:04:00,Faulty,Poor,1,9,8,0,
Rivers,PU_0185,2026-03-28,878,602,561,5,2026-06-21 09:44:00,2026-06-21 16:57:00,Working,Good,1,7,7,1,69.0
Kaduna,PU_0186,2026-03-28,1525,956,905,37,2026-06-21 08:14:00,2026-06-21 16:53:00,Working,Good,2,5,5,1,2.0
Lagos,PU_0187,2026-03-28,1408,1266,1141,29,2026-06-21 09:05:00,2026-06-21 16:30:00,Working,Offline,2,7,7,1,91.0
Lagos,PU_0188,2026-03-28,949,666,568,8,2026-06-21 09:30:00,2026-06-21 15:49:00,Faulty,Good,1,8,7,1,111.0
Kano,PU_0189,2026-03-28,1068,659,595,39,2026-06-21 08:33:00,2026-06-21 15:21:00,Faulty,Offline,2,8,7,1,133.0
Abuja,PU_0190,2026-03-28,1950,1760,1612,32,2026-06-21 09:24:00,2026-06-21 15:56:00,Working,Good,1,5,5,0,
Kaduna,PU_0191,2026-03-28,1312,1021,933,22,2026-06-21 08:36:00,2026-06-21 15:24:00,Working,Good,0,8,8,1,19.0
Rivers,PU_0192,2026-03-28,778,695,611,20,2026-06-21 08:47:00,2026-06-21 15:41:00,Working,Good,0,5,5,1,93.0
